Client_ID,Ano,Area_Comercial,Area_Hibrida,Area_Residencial,Area_Industrial,ValorPotencial
595,2021,28978.00,0.00,59260.00,61294.00,30531286.7944021
5,2021,3198.69,0.00,75857.09,58884.10,30527578.7590703
595,2022,28978.00,0.00,59260.00,61294.00,29466140.5192908
940,2021,11692.00,0.00,67626.00,57267.00,29345831.5831351
5,2022,3198.69,0.00,75857.09,58884.10,29164114.4179586
5,2020,3198.69,0.00,75857.09,58884.10,28653334.1370806
595,2020,28978.00,0.00,59260.00,61294.00,28402173.4275978
940,2022,11692.00,0.00,67626.00,57267.00,28130313.8308456
940,2020,11692.00,0.00,67626.00,57267.00,27463212.6006326
10,2021,5331.15,0.00,50987.62,54077.24,25134536.0600701
10,2022,5331.15,0.00,50987.62,54077.24,24218078.5251428
10,2020,5331.15,0.00,50987.62,54077.24,23405690.7354246
3542,2021,7729.00,0.00,34508.00,21807.00,12880000.7088697
3542,2022,7729.00,0.00,34508.00,21807.00,12259749.8202173
3542,2020,7729.00,0.00,34508.00,21807.00,12134303.6653372
946,2021,15698.00,0.00,34297.00,9706.00,9826541.7631112
946,2020,15698.00,0.00,34297.00,9706.00,9394294.5285045
946,2022,15698.00,0.00,34297.00,9706.00,9210083.4135079
966,2021,5811.00,0.00,21956.00,16932.00,9185673.0925748
12,2021,8529.84,0.00,24973.53,14420.60,9141818.4602217
3772,2021,17152.44,0.00,25189.96,10926.01,8801916.3147656
966,2022,5811.00,0.00,21956.00,16932.00,8791033.3420458
3329,2021,19000.00,0.00,30500.00,7300.00,8733195.8357592
12,2022,8529.84,0.00,24973.53,14420.60,8692941.2672437
12,2020,8529.84,0.00,24973.53,14420.60,8622391.0623318
966,2020,5811.00,0.00,21956.00,16932.00,8610670.7552761
3329,2020,19000.00,0.00,30500.00,7300.00,8352645.7218091
3772,2022,17152.44,0.00,25189.96,10926.01,8349148.9832738
3772,2020,17152.44,0.00,25189.96,10926.01,8326347.1063961
3329,2022,19000.00,0.00,30500.00,7300.00,8184985.2149206
3760,2021,0.00,0.00,44000.00,2600.00,8059652.9031227
3760,2020,0.00,0.00,44000.00,2600.00,7956144.2583364
945,2021,16125.00,0.00,19292.00,9706.00,7378515.7827469
3760,2022,0.00,0.00,44000.00,2600.00,7268791.6796179
3769,2021,1348.78,0.00,19292.05,12620.43,7096654.5249875
945,2022,16125.00,0.00,19292.00,9706.00,7031759.0844774
945,2020,16125.00,0.00,19292.00,9706.00,6951170.3292960
3769,2022,1348.78,0.00,19292.05,12620.43,6749896.9280121
482,2021,7500.00,0.00,22000.00,8300.00,6726196.3470373
3769,2020,1348.78,0.00,19292.05,12620.43,6688447.6257014
723,2021,2758.00,0.00,16739.00,12060.00,6616251.8207246
901,2021,3000.00,0.00,38000.00,0.00,6519858.8542109
2520,2021,9000.00,0.00,35000.00,0.00,6494529.3544644
901,2020,3000.00,0.00,38000.00,0.00,6477413.8307363
3301,2021,18000.00,0.00,30500.00,0.00,6456535.1048447
2520,2020,9000.00,0.00,35000.00,0.00,6409543.6922933
953,2021,0.00,0.00,0.00,21276.00,6406676.1661966
953,2022,0.00,0.00,0.00,21276.00,6406676.1661966
482,2020,7500.00,0.00,22000.00,8300.00,6404082.3433353
482,2022,7500.00,0.00,22000.00,8300.00,6330765.7352849
723,2022,2758.00,0.00,16739.00,12060.00,6315383.0475371
3301,2020,18000.00,0.00,30500.00,0.00,6307738.4846287
723,2020,2758.00,0.00,16739.00,12060.00,6216271.3999158
3301,2022,18000.00,0.00,30500.00,0.00,5908324.4840061
2520,2022,9000.00,0.00,35000.00,0.00,5865435.1994037
901,2022,3000.00,0.00,38000.00,0.00,5836842.3430022
900,2021,2630.00,0.00,14000.00,11000.00,5834041.5341053
953,2020,0.00,0.00,0.00,21276.00,5752671.2988538
900,2022,2630.00,0.00,14000.00,11000.00,5582403.8720811
900,2020,2630.00,0.00,14000.00,11000.00,5469054.6816396
3773,2021,9700.56,0.00,15704.19,6983.17,5461141.1975142
2429,2021,20000.00,0.00,23500.00,0.00,5455809.8718193
843,2021,10000.00,0.00,28000.00,0.00,5415335.5325266
2099,2021,22000.00,0.00,22000.00,0.00,5364676.5330336
843,2020,10000.00,0.00,28000.00,0.00,5326744.2088888
724,2021,7509.00,0.00,17024.00,6296.00,5300521.0592561
2429,2020,20000.00,0.00,23500.00,0.00,5296049.4494579
2099,2020,22000.00,0.00,22000.00,0.00,5191003.9320027
3773,2022,9700.56,0.00,15704.19,6983.17,5178872.2221153
3773,2020,9700.56,0.00,15704.19,6983.17,5166688.3040972
724,2020,7509.00,0.00,17024.00,6296.00,5042609.4442165
2429,2022,20000.00,0.00,23500.00,0.00,5033418.0819929
724,2022,7509.00,0.00,17024.00,6296.00,4994529.6622346
2099,2022,22000.00,0.00,22000.00,0.00,4969245.9212812
843,2022,10000.00,0.00,28000.00,0.00,4912060.2084780
720,2021,7368.00,0.00,13626.00,6351.00,4744056.2995416
590,2021,12000.00,0.00,20000.00,1400.00,4670801.0508205
590,2020,12000.00,0.00,20000.00,1400.00,4528747.2682526
720,2022,7368.00,0.00,13626.00,6351.00,4499140.9579171
720,2020,7368.00,0.00,13626.00,6351.00,4487313.0930407
861,2021,6065.00,0.00,14356.00,5101.00,4386136.6155644
590,2022,12000.00,0.00,20000.00,1400.00,4311318.6765001
1381,2021,5810.00,0.00,13020.00,5320.00,4211124.7495238
833,2021,16000.00,0.00,17800.00,0.00,4199267.5530483
861,2020,6065.00,0.00,14356.00,5101.00,4177013.5982176
719,2021,2491.00,0.00,9357.00,7981.00,4146185.5054510
861,2022,6065.00,0.00,14356.00,5101.00,4128100.1672772
1981,2021,1000.00,0.00,24300.00,0.00,4097210.9580073
1169,2021,10000.00,0.00,20000.00,0.00,4092292.7772690
1981,2020,1000.00,0.00,24300.00,0.00,4076826.3537773
833,2020,16000.00,0.00,17800.00,0.00,4071995.2836180
1169,2020,10000.00,0.00,20000.00,0.00,4007990.0013024
1381,2020,5810.00,0.00,13020.00,5320.00,3997862.3849195
719,2022,2491.00,0.00,9357.00,7981.00,3978001.6766252
1381,2022,5810.00,0.00,13020.00,5320.00,3977101.7238412
833,2022,16000.00,0.00,17800.00,0.00,3879328.2399031
719,2020,2491.00,0.00,9357.00,7981.00,3877511.7114728
725,2021,3620.00,0.00,10818.00,5724.00,3796764.3947589
1169,2022,10000.00,0.00,20000.00,0.00,3732810.4029486
2214,2021,10000.00,0.00,17800.00,0.00,3728456.0195732
3544,2021,590.00,0.00,9500.00,6860.00,3683108.1083862
353,2021,5000.00,0.00,19800.00,0.00,3666873.7638250
1981,2022,1000.00,0.00,24300.00,0.00,3660439.8732081
2214,2020,10000.00,0.00,17800.00,0.00,3645332.5942162
943,2021,6157.00,0.00,11894.00,3948.00,3638995.4082620
353,2020,5000.00,0.00,19800.00,0.00,3619468.9049446
725,2022,3620.00,0.00,10818.00,5724.00,3602320.3784890
725,2020,3620.00,0.00,10818.00,5724.00,3588378.1888462
3774,2021,13482.47,0.00,15207.84,0.00,3573028.2128448
3544,2022,590.00,0.00,9500.00,6860.00,3512353.9805840
943,2020,6157.00,0.00,11894.00,3948.00,3465957.4126655
3774,2020,13482.47,0.00,15207.84,0.00,3465669.8585342
2302,2021,11500.00,1000.00,14500.00,0.00,3463380.8152066
3544,2020,590.00,0.00,9500.00,6860.00,3462804.0013332
943,2022,6157.00,0.00,11894.00,3948.00,3425211.2402537
2214,2022,10000.00,0.00,17800.00,0.00,3408516.7064281
2606,2021,13500.00,0.00,14000.00,0.00,3374650.7720197
2144,2021,3300.00,0.00,4000.00,8140.00,3371602.5204780
2302,2020,11500.00,1000.00,14500.00,0.00,3354433.6694322
1996,2021,11000.00,0.00,15000.00,0.00,3343859.6441456
353,2022,5000.00,0.00,19800.00,0.00,3310986.2132478
2144,2022,3300.00,0.00,4000.00,8140.00,3299706.0456139
3774,2022,13482.47,0.00,15207.84,0.00,3299680.6912706
480,2021,4000.00,0.00,18000.00,0.00,3290720.5549796
2606,2020,13500.00,0.00,14000.00,0.00,3267810.9144303
1996,2020,11000.00,0.00,15000.00,0.00,3254879.0697945
480,2020,4000.00,0.00,18000.00,0.00,3251638.7600040
