Client_ID,Categoria,SubCategoria,Produto,Ano,Mes,Cidade,Valor,Volume
201,X,Sub-Categoria 1,PDT100,2020,1,Cidade57,28800.3200000,372.0
475,X,Sub-Categoria 1,PDT100,2020,1,Cidade7,15484.0500000,200.0
413,X,Sub-Categoria 1,PDT100,2020,11,Cidade81,6076.0730730,100.0
3265,X,Sub-Categoria 1,PDT100,2020,12,Cidade81,20385.5394500,300.0
1476,X,Sub-Categoria 1,PDT100,2020,12,Cidade81,28788.7396500,444.0
3710,X,Sub-Categoria 1,PDT104,2020,1,Cidade7,12903.2000000,200.0
1269,X,Sub-Categoria 1,PDT104,2020,1,Cidade2,9071.8200000,110.0
1269,X,Sub-Categoria 1,PDT104,2020,1,Cidade2,32162.7900000,390.0
1824,X,Sub-Categoria 1,PDT104,2020,1,Cidade86,58529.5000000,720.0
1269,X,Sub-Categoria 1,PDT104,2020,2,Cidade2,131253.4500000,1500.0
734,X,Sub-Categoria 1,PDT104,2020,2,Cidade23,4997.2300000,50.0
12,X,Sub-Categoria 1,PDT104,2020,3,Cidade17,23404.2200000,350.0
2634,X,Sub-Categoria 1,PDT104,2020,11,Cidade81,4193.1280680,90.0
3617,X,Sub-Categoria 1,PDT104,2020,12,Cidade58,5849.4778380,100.0
39,X,Sub-Categoria 1,PDT104,2020,12,Cidade56,9884.0136600,218.0
39,X,Sub-Categoria 1,PDT104,2021,1,Cidade56,5061.9445200,100.0
734,X,Sub-Categoria 1,PDT105,2020,1,Cidade23,6580.8000000,100.0
475,X,Sub-Categoria 1,PDT105,2020,1,Cidade7,4645.4000000,100.0
201,X,Sub-Categoria 1,PDT105,2020,2,Cidade57,5667.9900000,115.0
2634,X,Sub-Categoria 1,PDT105,2020,11,Cidade81,411.1050084,9.0
39,X,Sub-Categoria 1,PDT105,2020,12,Cidade56,3699.2212680,80.0
717,X,Sub-Categoria 1,PDT105,2020,12,Cidade108,734.0101938,16.0
698,X,Sub-Categoria 1,PDT105,2021,1,Cidade30,6021.3320000,128.0
1341,X,Sub-Categoria 1,PDT105,2021,1,Cidade81,14251.8049500,290.0
5,X,Sub-Categoria 1,PDT105,2021,11,Cidade2,18293.9236300,578.0
5,X,Sub-Categoria 1,PDT105,2021,11,Cidade2,7026.4783300,222.0
315,X,Sub-Categoria 1,PDT105,2021,12,Cidade28,3121.6267420,108.0
74,X,Sub-Categoria 1,PDT105,2021,12,Cidade2,3568.9019810,130.0
3760,X,Sub-Categoria 1,PDT106,2020,1,Cidade36,5253.0300000,69.0
3760,X,Sub-Categoria 1,PDT106,2020,1,Cidade17,8755.0500000,115.0
1269,X,Sub-Categoria 1,PDT106,2020,1,Cidade2,20617.1700000,250.0
1269,X,Sub-Categoria 1,PDT106,2020,2,Cidade2,21875.5800000,250.0
3760,X,Sub-Categoria 1,PDT107,2020,12,Cidade36,5110.4533180,60.0
2404,X,Sub-Categoria 1,PDT107,2021,12,Cidade2,3270.7737460,60.0
2854,X,Sub-Categoria 1,PDT108,2020,11,Cidade81,4974.0985200,50.0
832,X,Sub-Categoria 1,PDT108,2020,12,Cidade98,33735.9875400,385.0
835,X,Sub-Categoria 1,PDT108,2020,12,Cidade29,22825.6415300,220.0
832,X,Sub-Categoria 1,PDT108,2021,1,Cidade98,37665.0074200,385.0
595,X,Sub-Categoria 1,PDT110,2020,11,Cidade93,17794.1093500,200.0
835,X,Sub-Categoria 1,PDT110,2020,12,Cidade29,18762.1883100,220.0
8,X,Sub-Categoria 1,PDT110,2021,11,Cidade93,13381.2149300,270.0
595,X,Sub-Categoria 1,PDT110,2021,12,Cidade93,32605.2061500,469.0
835,X,Sub-Categoria 1,PDT110,2021,12,Cidade29,27229.9709900,468.0
3678,X,Sub-Categoria 1,PDT111,2020,1,Cidade88,22525.6800000,170.0
3695,X,Sub-Categoria 1,PDT111,2020,1,Cidade85,54234.4700000,450.0
3669,X,Sub-Categoria 1,PDT111,2020,1,Cidade72,223854.9400000,1800.0
3159,X,Sub-Categoria 1,PDT111,2020,1,Cidade93,15097.4100000,130.0
678,X,Sub-Categoria 1,PDT111,2020,10,Cidade86,33317.0253000,360.0
3669,X,Sub-Categoria 1,PDT111,2020,11,Cidade72,130189.5925000,1300.0
3669,X,Sub-Categoria 1,PDT111,2020,12,Cidade72,5589.7095640,59.0
3617,X,Sub-Categoria 1,PDT111,2020,12,Cidade58,22322.3688400,200.0
2792,X,Sub-Categoria 1,PDT111,2020,12,Cidade79,5259.5488660,60.0
1187,X,Sub-Categoria 1,PDT111,2020,12,Cidade52,41492.7058800,450.0
595,X,Sub-Categoria 1,PDT111,2020,12,Cidade93,80063.9343400,1000.0
835,X,Sub-Categoria 1,PDT111,2020,12,Cidade29,16241.8221200,160.0
678,X,Sub-Categoria 1,PDT111,2020,12,Cidade86,59795.7126900,660.0
2840,X,Sub-Categoria 1,PDT111,2021,1,Cidade85,27504.3133800,300.0
713,X,Sub-Categoria 1,PDT111,2021,1,Cidade6,20885.8700700,184.0
595,X,Sub-Categoria 1,PDT111,2021,2,Cidade93,57911.4552000,700.0
596,X,Sub-Categoria 1,PDT111,2021,2,Cidade90,43450.9684600,500.0
595,X,Sub-Categoria 1,PDT111,2021,10,Cidade93,45253.3843600,733.0
2840,X,Sub-Categoria 1,PDT111,2021,11,Cidade85,47288.3864000,800.0
2565,X,Sub-Categoria 1,PDT111,2021,11,Cidade100,50034.8828200,750.0
2010,X,Sub-Categoria 1,PDT111,2021,11,Cidade29,16570.5023900,270.0
595,X,Sub-Categoria 1,PDT111,2021,11,Cidade93,18112.8319500,300.0
595,X,Sub-Categoria 1,PDT111,2021,11,Cidade93,88571.4135200,1467.0
353,X,Sub-Categoria 1,PDT111,2021,12,Cidade83,106985.5317000,1250.0
1187,X,Sub-Categoria 1,PDT111,2021,12,Cidade52,53775.1206700,750.0
835,X,Sub-Categoria 1,PDT111,2021,12,Cidade29,25749.2182500,347.0
413,X,Sub-Categoria 1,PDT111,2021,12,Cidade81,5043.2889980,70.0
822,X,Sub-Categoria 1,PDT111,2021,12,Cidade72,7430.9755490,100.0
3669,X,Sub-Categoria 1,PDT112,2021,1,Cidade72,10031.1374700,100.0
3760,X,Sub-Categoria 1,PDT112,2021,2,Cidade36,5408.2755480,60.0
5,X,Sub-Categoria 1,PDT112,2021,11,Cidade2,13405.6749100,200.0
2010,X,Sub-Categoria 1,PDT112,2021,11,Cidade29,16570.9085400,270.0
